# wavelength[nm] / analyte_index / effective index isolated plasmonic lossy
 (1861.445783+0.000000j)	 (1.420000+0.000000j)	 (1.851339+0.088836j)
 (1863.855422+0.000000j)	 (1.420000+0.000000j)	 (1.850229+0.088672j)
 (1866.265060+0.000000j)	 (1.420000+0.000000j)	 (1.849122+0.088509j)
 (1868.674699+0.000000j)	 (1.420000+0.000000j)	 (1.848019+0.088348j)
 (1871.084337+0.000000j)	 (1.420000+0.000000j)	 (1.846920+0.088187j)
 (1873.493976+0.000000j)	 (1.420000+0.000000j)	 (1.845824+0.088028j)
 (1875.903614+0.000000j)	 (1.420000+0.000000j)	 (1.844732+0.087870j)
 (1878.313253+0.000000j)	 (1.420000+0.000000j)	 (1.843644+0.087713j)
 (1880.722892+0.000000j)	 (1.420000+0.000000j)	 (1.842560+0.087558j)
 (1883.132530+0.000000j)	 (1.420000+0.000000j)	 (1.841479+0.087403j)
 (1885.542169+0.000000j)	 (1.420000+0.000000j)	 (1.840402+0.087250j)
 (1887.951807+0.000000j)	 (1.420000+0.000000j)	 (1.839328+0.087098j)
 (1890.361446+0.000000j)	 (1.420000+0.000000j)	 (1.838259+0.086947j)
 (1892.771084+0.000000j)	 (1.420000+0.000000j)	 (1.837193+0.086797j)
 (1895.180723+0.000000j)	 (1.420000+0.000000j)	 (1.836130+0.086649j)
 (1897.590361+0.000000j)	 (1.420000+0.000000j)	 (1.835071+0.086501j)
 (1900.000000+0.000000j)	 (1.420000+0.000000j)	 (1.834016+0.086355j)
