# wavelength[nm] / analyte_index / effective index supermode 2 lossless
 (1827.710843+0.000000j)	 (1.420000+0.000000j)	 (1.706890-0.000000j)
 (1830.120482+0.000000j)	 (1.420000+0.000000j)	 (1.705044+0.000000j)
 (1832.530120+0.000000j)	 (1.420000+0.000000j)	 (1.703211-0.000000j)
 (1834.939759+0.000000j)	 (1.420000+0.000000j)	 (1.701389-0.000000j)
 (1837.349398+0.000000j)	 (1.420000+0.000000j)	 (1.699579+0.000000j)
 (1839.759036+0.000000j)	 (1.420000+0.000000j)	 (1.697782-0.000000j)
 (1842.168675+0.000000j)	 (1.420000+0.000000j)	 (1.695996-0.000000j)
 (1844.578313+0.000000j)	 (1.420000+0.000000j)	 (1.694223+0.000000j)
 (1846.987952+0.000000j)	 (1.420000+0.000000j)	 (1.692461-0.000000j)
 (1849.397590+0.000000j)	 (1.420000+0.000000j)	 (1.690712+0.000000j)
 (1851.807229+0.000000j)	 (1.420000+0.000000j)	 (1.688974+0.000000j)
 (1854.216867+0.000000j)	 (1.420000+0.000000j)	 (1.687248-0.000000j)
 (1856.626506+0.000000j)	 (1.420000+0.000000j)	 (1.685534+0.000000j)
 (1859.036145+0.000000j)	 (1.420000+0.000000j)	 (1.683832+0.000000j)
 (1861.445783+0.000000j)	 (1.420000+0.000000j)	 (1.682141-0.000000j)
 (1863.855422+0.000000j)	 (1.420000+0.000000j)	 (1.680462-0.000000j)
 (1866.265060+0.000000j)	 (1.420000+0.000000j)	 (1.678795-0.000000j)
 (1868.674699+0.000000j)	 (1.420000+0.000000j)	 (1.677140+0.000000j)
 (1871.084337+0.000000j)	 (1.420000+0.000000j)	 (1.675496+0.000000j)
 (1873.493976+0.000000j)	 (1.420000+0.000000j)	 (1.673864+0.000000j)
 (1875.903614+0.000000j)	 (1.420000+0.000000j)	 (1.672243-0.000000j)
 (1878.313253+0.000000j)	 (1.420000+0.000000j)	 (1.670634+0.000000j)
 (1880.722892+0.000000j)	 (1.420000+0.000000j)	 (1.669036+0.000000j)
 (1883.132530+0.000000j)	 (1.420000+0.000000j)	 (1.667449+0.000000j)
 (1885.542169+0.000000j)	 (1.420000+0.000000j)	 (1.665874-0.000000j)
 (1887.951807+0.000000j)	 (1.420000+0.000000j)	 (1.664310+0.000000j)
 (1890.361446+0.000000j)	 (1.420000+0.000000j)	 (1.662758+0.000000j)
 (1892.771084+0.000000j)	 (1.420000+0.000000j)	 (1.661216-0.000000j)
 (1895.180723+0.000000j)	 (1.420000+0.000000j)	 (1.659686+0.000000j)
 (1897.590361+0.000000j)	 (1.420000+0.000000j)	 (1.658167+0.000000j)
 (1900.000000+0.000000j)	 (1.420000+0.000000j)	 (1.656659-0.000000j)
