# wavelength[nm] / analyte_index / effective index isolated dielectric
 (1851.807229+0.000000j)	 (1.420000+0.000000j)	 (1.787758-0.000000j)
 (1854.216867+0.000000j)	 (1.420000+0.000000j)	 (1.786131-0.000000j)
 (1856.626506+0.000000j)	 (1.420000+0.000000j)	 (1.784513-0.000000j)
 (1859.036145+0.000000j)	 (1.420000+0.000000j)	 (1.782903+0.000000j)
 (1861.445783+0.000000j)	 (1.420000+0.000000j)	 (1.781303+0.000000j)
 (1863.855422+0.000000j)	 (1.420000+0.000000j)	 (1.779711+0.000000j)
 (1866.265060+0.000000j)	 (1.420000+0.000000j)	 (1.778128+0.000000j)
 (1868.674699+0.000000j)	 (1.420000+0.000000j)	 (1.776554-0.000000j)
 (1871.084337+0.000000j)	 (1.420000+0.000000j)	 (1.774988-0.000000j)
 (1873.493976+0.000000j)	 (1.420000+0.000000j)	 (1.773431+0.000000j)
 (1875.903614+0.000000j)	 (1.420000+0.000000j)	 (1.771882-0.000000j)
 (1878.313253+0.000000j)	 (1.420000+0.000000j)	 (1.770343+0.000000j)
 (1880.722892+0.000000j)	 (1.420000+0.000000j)	 (1.768811-0.000000j)
 (1883.132530+0.000000j)	 (1.420000+0.000000j)	 (1.767288-0.000000j)
 (1885.542169+0.000000j)	 (1.420000+0.000000j)	 (1.765774+0.000000j)
 (1887.951807+0.000000j)	 (1.420000+0.000000j)	 (1.764268-0.000000j)
 (1890.361446+0.000000j)	 (1.420000+0.000000j)	 (1.762770-0.000000j)
 (1892.771084+0.000000j)	 (1.420000+0.000000j)	 (1.761281-0.000000j)
 (1895.180723+0.000000j)	 (1.420000+0.000000j)	 (1.759799+0.000000j)
 (1897.590361+0.000000j)	 (1.420000+0.000000j)	 (1.758326-0.000000j)
 (1900.000000+0.000000j)	 (1.420000+0.000000j)	 (1.756862-0.000000j)
