# wavelength[nm] / analyte_index / effective index supermode 1 lossy
 (1750.602410+0.000000j)	 (1.420000+0.000000j)	 (1.975850+0.056583j)
 (1753.012048+0.000000j)	 (1.420000+0.000000j)	 (1.974822+0.056581j)
 (1755.421687+0.000000j)	 (1.420000+0.000000j)	 (1.973798+0.056577j)
 (1757.831325+0.000000j)	 (1.420000+0.000000j)	 (1.972777+0.056571j)
 (1760.240964+0.000000j)	 (1.420000+0.000000j)	 (1.971760+0.056562j)
 (1762.650602+0.000000j)	 (1.420000+0.000000j)	 (1.970746+0.056552j)
 (1765.060241+0.000000j)	 (1.420000+0.000000j)	 (1.969736+0.056539j)
 (1767.469880+0.000000j)	 (1.420000+0.000000j)	 (1.968729+0.056525j)
 (1769.879518+0.000000j)	 (1.420000+0.000000j)	 (1.967726+0.056509j)
 (1772.289157+0.000000j)	 (1.420000+0.000000j)	 (1.966726+0.056492j)
 (1774.698795+0.000000j)	 (1.420000+0.000000j)	 (1.965730+0.056472j)
 (1777.108434+0.000000j)	 (1.420000+0.000000j)	 (1.964737+0.056452j)
 (1779.518072+0.000000j)	 (1.420000+0.000000j)	 (1.963748+0.056430j)
 (1781.927711+0.000000j)	 (1.420000+0.000000j)	 (1.962762+0.056406j)
 (1784.337349+0.000000j)	 (1.420000+0.000000j)	 (1.961779+0.056382j)
 (1786.746988+0.000000j)	 (1.420000+0.000000j)	 (1.960800+0.056356j)
 (1789.156627+0.000000j)	 (1.420000+0.000000j)	 (1.959825+0.056329j)
 (1791.566265+0.000000j)	 (1.420000+0.000000j)	 (1.958853+0.056300j)
 (1793.975904+0.000000j)	 (1.420000+0.000000j)	 (1.957884+0.056271j)
 (1796.385542+0.000000j)	 (1.420000+0.000000j)	 (1.956919+0.056241j)
 (1798.795181+0.000000j)	 (1.420000+0.000000j)	 (1.955957+0.056210j)
 (1801.204819+0.000000j)	 (1.420000+0.000000j)	 (1.954999+0.056177j)
 (1803.614458+0.000000j)	 (1.420000+0.000000j)	 (1.954044+0.056144j)
 (1806.024096+0.000000j)	 (1.420000+0.000000j)	 (1.953093+0.056111j)
 (1808.433735+0.000000j)	 (1.420000+0.000000j)	 (1.952145+0.056076j)
 (1810.843373+0.000000j)	 (1.420000+0.000000j)	 (1.951200+0.056041j)
 (1813.253012+0.000000j)	 (1.420000+0.000000j)	 (1.950259+0.056005j)
 (1815.662651+0.000000j)	 (1.420000+0.000000j)	 (1.949322+0.055968j)
 (1818.072289+0.000000j)	 (1.420000+0.000000j)	 (1.948387+0.055931j)
 (1820.481928+0.000000j)	 (1.420000+0.000000j)	 (1.947457+0.055893j)
 (1822.891566+0.000000j)	 (1.420000+0.000000j)	 (1.946529+0.055855j)
 (1825.301205+0.000000j)	 (1.420000+0.000000j)	 (1.945605+0.055816j)
 (1827.710843+0.000000j)	 (1.420000+0.000000j)	 (1.944684+0.055776j)
 (1830.120482+0.000000j)	 (1.420000+0.000000j)	 (1.943767+0.055737j)
 (1832.530120+0.000000j)	 (1.420000+0.000000j)	 (1.942853+0.055696j)
 (1834.939759+0.000000j)	 (1.420000+0.000000j)	 (1.941943+0.055656j)
 (1837.349398+0.000000j)	 (1.420000+0.000000j)	 (1.941035+0.055615j)
 (1839.759036+0.000000j)	 (1.420000+0.000000j)	 (1.940132+0.055574j)
 (1842.168675+0.000000j)	 (1.420000+0.000000j)	 (1.939231+0.055532j)
 (1844.578313+0.000000j)	 (1.420000+0.000000j)	 (1.938334+0.055490j)
 (1846.987952+0.000000j)	 (1.420000+0.000000j)	 (1.937440+0.055448j)
 (1849.397590+0.000000j)	 (1.420000+0.000000j)	 (1.936550+0.055406j)
 (1851.807229+0.000000j)	 (1.420000+0.000000j)	 (1.935663+0.055363j)
 (1854.216867+0.000000j)	 (1.420000+0.000000j)	 (1.934779+0.055320j)
 (1856.626506+0.000000j)	 (1.420000+0.000000j)	 (1.933898+0.055277j)
 (1859.036145+0.000000j)	 (1.420000+0.000000j)	 (1.933021+0.055234j)
 (1861.445783+0.000000j)	 (1.420000+0.000000j)	 (1.932147+0.055191j)
 (1863.855422+0.000000j)	 (1.420000+0.000000j)	 (1.931276+0.055148j)
 (1866.265060+0.000000j)	 (1.420000+0.000000j)	 (1.930408+0.055105j)
 (1868.674699+0.000000j)	 (1.420000+0.000000j)	 (1.929544+0.055061j)
 (1871.084337+0.000000j)	 (1.420000+0.000000j)	 (1.928683+0.055018j)
 (1873.493976+0.000000j)	 (1.420000+0.000000j)	 (1.927825+0.054974j)
